jobtitle,category,experience_level,job_type,salary_range,mobility,vision,hearing,cognitive,skills,tools,summary,details,growth_potential,why_accessible,location,learning_resource,roadmap,videos,sources
Data Entry Specialist,Analytics,Entry,Full-time Remote,"$16,000–$28,000",No issues / N/A,Mild,No issues / N/A,No issues / N/A,Typing Accuracy;Data Validation;Spreadsheets;Attention to Detail;Organisation,Excel;Google Sheets;Airtable;Microsoft Access,"Enter, validate, and organise data across business systems with high accuracy.","Input data from source documents into databases and spreadsheets, validate entries for errors, apply formatting rules, flag anomalies, and maintain data integrity across systems.",Data Coordinator → Junior Data Analyst → Data Manager,"Fully remote. Highly structured and predictable tasks. Minimal cognitive load. Ideal for those needing calm, routine work.",Remote,Microsoft Excel Training (LinkedIn Learning),Keyboard shortcuts and touch-typing speed;Data validation and error checking;Spreadsheet formulas and formatting;Working efficiently with large datasets;Data quality and accuracy standards,,
Frontend Developer,Technology,Entry,Full-time Remote,"$38,000–$65,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,HTML;CSS;JavaScript;React;Responsive Design,VS Code;GitHub;Figma;Chrome DevTools;npm,Build user interfaces and interactive web pages from design mockups.,"Convert Figma designs into pixel-perfect React components, implement responsive layouts, optimise page load performance, and fix cross-browser compatibility issues in collaboration with designers.",Mid Frontend Developer → Senior Frontend Developer → Frontend Architect,Fully remote. IDEs are screen-reader compatible. Keyboard-driven workflow. No physical demands whatsoever.,Remote,The Odin Project (Full Stack Path),HTML semantics and accessibility;CSS layout (Flexbox and Grid);JavaScript fundamentals;React components and hooks;Git workflow and code review,,
Backend Developer,Technology,Mid,Full-time Remote,"$52,000–$88,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Node.js;Python;SQL;REST APIs;System Design,VS Code;PostgreSQL;Docker;GitHub;Postman,"Design and maintain server-side logic, databases, and APIs for web applications.","Build RESTful APIs, design relational database schemas, write unit and integration tests, optimise query performance, and review pull requests from junior developers.",Senior Backend Developer → Staff Engineer → Engineering Manager,Fully remote. Deep focus work. Async collaboration via GitHub and Slack. Suits those who prefer independent structured tasks.,Remote,Coursera (Meta Back-End Developer Certificate),HTTP and web fundamentals;Node.js or Python server setup;SQL and database design;REST API design and security;Docker and deployment basics,,
Data Scientist,Analytics,Mid,Full-time Remote,"$60,000–$100,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Python;Machine Learning;Statistics;Data Wrangling;Model Evaluation,Jupyter;scikit-learn;pandas;TensorFlow;SQL,Build predictive models and extract strategic insights from large datasets.,"Clean and explore datasets, engineer features, train and evaluate machine learning models, communicate findings to product and leadership teams, and deploy models into production pipelines.",Senior Data Scientist → ML Engineer → Head of Data,Fully remote. Deep analytical work. Jupyter notebooks accessible via screen magnification. Suits high-focus cognitive styles.,Remote,fast.ai (Practical Deep Learning),"Python for data science (numpy, pandas);Statistical thinking and probability;Machine learning fundamentals with scikit-learn;Model evaluation and validation;Communicating results with visualisations",,
DevOps Engineer,Technology,Mid,Full-time Remote,"$58,000–$95,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,CI/CD;Docker;Kubernetes;Linux;Infrastructure as Code,Jenkins;GitHub Actions;Terraform;AWS;Datadog,Automate software delivery pipelines and manage cloud infrastructure reliably.,"Set up and maintain CI/CD pipelines, manage containerised workloads on Kubernetes, write Terraform infrastructure as code, monitor system health, and respond to on-call incidents.",Senior DevOps → Platform Engineer → Head of Infrastructure,Entirely remote. Terminal and script-based work. High autonomy. Suits deep focus work styles.,Remote,Linux Foundation (DevOps and SRE Fundamentals),Linux command line and bash scripting;Docker and container fundamentals;CI/CD pipeline setup with GitHub Actions;Kubernetes basics;Cloud infrastructure with AWS or Azure,,
Cloud Solutions Architect,Technology,Senior,Full-time Remote,"$90,000–$140,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,AWS;Azure;GCP;Architecture Design;Security;Cost Optimisation,AWS Console;Terraform;CloudFormation;Draw.io;Confluence,Design and oversee cloud infrastructure strategies for enterprise clients.,"Evaluate client workloads and propose cloud migration strategies, design multi-region architectures, produce architecture decision records, ensure compliance with security frameworks, and mentor junior engineers.",Principal Architect → VP of Engineering → CTO,Fully remote senior role. Deep expertise valued over physical presence. Async documentation-heavy work. Suits experienced professionals.,Remote,AWS Certified Solutions Architect (Associate → Professional),"Cloud fundamentals and shared responsibility model;AWS core services (EC2, S3, RDS, Lambda);Networking and security in the cloud;High availability and disaster recovery design;Cost management and Well-Architected Framework",,
WordPress Developer,Technology,Entry,Freelance,"$22,000–$45,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,WordPress;PHP;CSS;HTML;Plugin Customisation,VS Code;WordPress;Elementor;GitHub;WP Engine,Build and maintain WordPress websites for small businesses and agencies.,"Install and configure WordPress themes and plugins, customise layouts with CSS and PHP, optimise site speed, manage client content updates, and troubleshoot common WordPress issues.",WordPress Developer → Full Stack Developer → Web Agency Owner,Fully freelance and self-paced. Low barrier to entry. Client work done entirely online. Suits those with flexible schedules.,Remote,Udemy (Complete WordPress Developer Course),WordPress installation and setup;Theme customisation with CSS;PHP basics for WordPress;Plugin development fundamentals;Site performance and SEO optimisation,,
SEO Specialist,Communication,Entry,Full-time Remote,"$28,000–$52,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,SEO;Keyword Research;Link Building;Analytics;Content Optimisation,Ahrefs;Semrush;Google Search Console;Screaming Frog;Google Analytics,Improve organic search visibility and traffic for websites through on-page and off-page optimisation.,"Conduct keyword research, perform technical SEO audits, write optimised meta content, build backlink outreach campaigns, and report monthly on ranking and traffic improvements.",Senior SEO Specialist → SEO Manager → Head of Organic Growth,Entirely remote and screen-based. Highly structured analytical work. Flexible schedule. Low cognitive load tasks.,Remote,Ahrefs Academy (SEO Training),How search engines work;Keyword research and intent mapping;On-page optimisation techniques;Technical SEO audits;Link building and outreach strategies,,
Email Marketing Specialist,Communication,Mid,Full-time Remote,"$35,000–$60,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Email Copywriting;A/B Testing;Segmentation;Automation;Analytics,Mailchimp;Klaviyo;HubSpot;Google Analytics;Figma,"Plan and execute email marketing campaigns that drive opens, clicks, and conversions.","Build subscriber segments, write and design email campaigns, set up automated drip sequences, run A/B tests on subject lines and content, and report on open rates and revenue attribution.",Senior Email Marketer → CRM Manager → Director of Lifecycle Marketing,Entirely remote. Structured campaign-based work. Highly flexible hours. Suits those needing asynchronous independent work.,Remote,HubSpot Academy (Email Marketing Certification),"Email marketing fundamentals and list hygiene;Copywriting for email (subject lines, CTAs);Segmentation and personalisation strategies;Marketing automation and drip sequences;Reporting and deliverability optimisation",,
Copywriter,Communication,Entry,Freelance,"$24,000–$50,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Copywriting;Persuasive Writing;Brand Voice;Research;Editing,Google Docs;Notion;Grammarly;Hemingway Editor;Slack,"Write persuasive copy for ads, landing pages, emails, and brand campaigns.","Translate briefs into compelling copy for digital ads, landing pages, product descriptions, and email campaigns. Collaborate with designers to ensure copy and visuals align with brand guidelines.",Senior Copywriter → Copy Director → Creative Director,Completely remote and independent. Writing-only work. Suits those who need full schedule flexibility. Excellent for mobility or hearing needs.,Remote,Copyblogger (Copywriting Fundamentals),Fundamentals of persuasion and psychology in copy;Writing headlines that convert;Landing page and ad copy structures;Brand voice and tone development;Editing and proofreading for clarity,,
UI Designer,Design,Entry,Full-time Remote,"$36,000–$62,000",No issues / N/A,Moderate,No issues / N/A,Mild,UI Design;Figma;Design Systems;Typography;Visual Hierarchy,Figma;Zeplin;Storybook;Notion;Slack,Create polished visual interfaces for web and mobile products.,"Design component libraries, apply and extend design system tokens, produce high-fidelity mockups, collaborate with developers on implementation feasibility, and iterate based on usability feedback.",Senior UI Designer → Design System Lead → Head of Design,Fully remote. Figma is keyboard-accessible. Visual creative work with predictable project structures. Suits mobility needs.,Remote,Figma (Learn Design),"Design principles: hierarchy, contrast, spacing;Typography and colour systems;Figma components and auto layout;Design system creation and maintenance;Handoff to developers with Zeplin or Figma inspect",,
Motion Designer,Creative,Mid,Full-time Remote,"$42,000–$72,000",No issues / N/A,Moderate,Mild,Mild,Motion Graphics;Animation;After Effects;Storyboarding;Video Editing,After Effects;Premiere Pro;Lottie;Cinema 4D;Figma,"Create animated content for digital products, social media, and brand campaigns.","Produce motion graphics sequences, animate UI micro-interactions for mobile apps, design social media reels and stories, export Lottie animations for developer handoff, and storyboard concept animations.",Senior Motion Designer → Creative Director → Head of Animation,Remote creative studio. Keyboard-heavy workflow. Predictable project cycles. Suits those with mobility or hearing needs.,Remote,School of Motion (Motion Design Fundamentals),"Principles of animation (timing, easing, weight);After Effects interface and keyframing;Typography in motion;Compositing and visual effects basics;Lottie and web-ready animation export",,
Illustrator,Creative,Entry,Freelance,"$20,000–$48,000",No issues / N/A,Moderate,No issues / N/A,Mild,Digital Illustration;Character Design;Concept Art;Colour Theory;Composition,Adobe Illustrator;Procreate;Photoshop;Clip Studio Paint;Behance,"Create digital illustrations for books, games, brands, and editorial clients.","Develop original characters and environments based on creative briefs, produce final illustrations in multiple formats, revise artwork based on client feedback, and build a public portfolio for ongoing commissions.",Senior Illustrator → Art Director → Creative Director,Entirely home-based with drawing tablet setup. Highly flexible freelance schedule. Suits those managing chronic conditions or variable energy levels.,Remote,Proko (Fundamentals of Drawing),Drawing fundamentals: proportion and form;Digital tools setup (Procreate or Illustrator);Colour theory and palette building;Character and environment design;Building and marketing a portfolio,,
Business Intelligence Analyst,Analytics,Mid,Hybrid,"$48,000–$80,000",No issues / N/A,Moderate,No issues / N/A,Moderate,SQL;Power BI;Data Modelling;Stakeholder Communication;DAX,Power BI;SQL Server;Excel;Azure;Confluence,Transform raw business data into dashboards and reports that drive decisions.,"Design and maintain Power BI dashboards, write complex SQL queries across data warehouses, build data models using DAX, present monthly business reviews to leadership, and document reporting standards.",Senior BI Analyst → BI Manager → Head of Analytics,Mostly remote-compatible. Screen magnification tools supported in Power BI. Structured and predictable analytical work.,Hybrid,Microsoft Power BI Data Analyst (PL-300),Relational database and SQL fundamentals;Power Query data transformation;Data modelling and DAX calculations;Power BI dashboard design;Presenting insights to non-technical audiences,,
Financial Analyst,Finance,Mid,Hybrid,"$45,000–$78,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Financial Modelling;Excel;Forecasting;Valuation;Reporting,Excel;Bloomberg;Power BI;Tableau;SAP,Build financial models and forecasts to support business planning and investment decisions.,"Develop and maintain financial models, produce monthly variance analyses, prepare board-level financial presentations, conduct competitor benchmarking, and support budget planning cycles.",Senior Financial Analyst → Finance Manager → CFO,Mostly desk-based and remote-compatible. Structured repeating work cycles. Excel keyboard shortcuts reduce mouse dependence.,Hybrid,Corporate Finance Institute (Financial Modelling),Excel fundamentals and advanced functions;Three-statement financial modelling;Discounted cash flow valuation;Scenario and sensitivity analysis;Presentation and storytelling with data,,
Bookkeeper,Finance,Entry,Part-time Remote,"$20,000–$38,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Bookkeeping;Accounts Payable;Accounts Receivable;Reconciliation;Reporting,QuickBooks;Xero;Excel;Dext;Slack,Record and reconcile financial transactions for small and medium businesses.,"Process invoices and payments, reconcile bank statements, manage payroll inputs, prepare monthly management accounts, and liaise with accountants for year-end filing.",Senior Bookkeeper → Accounts Manager → Finance Controller,Fully remote with flexible part-time hours. Highly structured repeating tasks. Low physical demands. Suits those needing schedule control.,Remote,AAT Bookkeeping Qualification,Double-entry bookkeeping fundamentals;Accounts payable and receivable processes;Bank reconciliation techniques;Payroll basics;Preparing management accounts,,
Payroll Specialist,Finance,Entry,Hybrid,"$28,000–$48,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Payroll Processing;Compliance;Excel;Attention to Detail;Data Entry,ADP;Sage Payroll;QuickBooks;Excel;HMRC tools,Process employee payroll accurately and on time while maintaining compliance.,"Calculate gross and net pay, process statutory deductions, handle new starters and leavers, respond to employee pay queries, and submit monthly RTI filings to HMRC.",Senior Payroll Specialist → Payroll Manager → Head of People Operations,Desk-based and partially remote. Predictable monthly cycle. Structured repetitive tasks. Suitable for a wide range of disabilities.,Hybrid,CIPP Payroll Technician Certificate,"Payroll legislation and compliance;Gross to net pay calculations;PAYE, NI, and pension processing;Payroll system operation;Year-end procedures and P60s",,
E-Learning Developer,Education,Mid,Full-time Remote,"$40,000–$70,000",No issues / N/A,Moderate,No issues / N/A,Moderate,Instructional Design;eLearning Authoring;Storyboarding;LMS Administration;SCORM,Articulate Storyline;Rise 360;Moodle;Canva;Camtasia,Design and build interactive online courses for corporate and educational clients.,"Convert subject matter expert content into engaging e-learning modules, create interactive scenarios and quizzes, record screen capture tutorials, publish SCORM packages to LMS platforms, and gather learner feedback for iteration.",Senior E-Learning Developer → Instructional Design Lead → Head of Learning,Fully remote. Authoring tools are accessible via keyboard. Creative and structured work. Suits a wide range of physical needs.,Remote,Association for Talent Development (ATD eLearning Certificate),"Instructional design models (ADDIE, SAM);Articulate Storyline interface and interactions;Storyboarding and content structuring;SCORM and LMS publishing;Accessibility in e-learning (Section 508)",,
Curriculum Designer,Education,Mid,Full-time Remote,"$42,000–$68,000",No issues / N/A,No issues / N/A,No issues / N/A,Moderate,Curriculum Design;Learning Objectives;Assessment Design;Writing;Research,Google Docs;Notion;Moodle;Canva;Zoom,Design educational programmes and course curricula for schools or online platforms.,"Conduct learning needs analyses, write course outlines and learning objectives, develop assessment rubrics, create supporting materials, and collaborate with subject experts to validate content accuracy.",Senior Curriculum Designer → Head of Curriculum → Director of Education,Entirely remote writing and design work. Highly flexible schedule. Suits those with mobility or chronic health conditions.,Remote,Coursera (Learning Design and Technology),Needs analysis and learning goals;Bloom's taxonomy and objective writing;Course structure and sequencing;Assessment design (formative and summative);Quality review and iterative improvement,,
Corporate Trainer,Education,Mid,Hybrid,"$38,000–$65,000",Mild,No issues / N/A,Mild,Moderate,Training Delivery;Facilitation;Instructional Design;Presentation;Needs Analysis,Zoom;PowerPoint;Kahoot;Articulate;Teams,Deliver skills training programmes to employees across departments and levels.,"Design and facilitate live and virtual workshops, create supporting workbooks and job aids, assess learner outcomes pre and post training, gather feedback, and report on training effectiveness to L&D managers.",Senior Trainer → L&D Manager → Head of Talent Development,Hybrid delivery includes fully virtual sessions. Seated facilitation reduces physical demands. Structured delivery with clear scripts.,Hybrid,CIPD Learning and Development Practitioner,"Adult learning theory and facilitation skills;Needs analysis and training design;Presentation and classroom management;Virtual facilitation techniques (Zoom, Teams);Evaluating training effectiveness (Kirkpatrick model)",,
Medical Transcriptionist,Healthcare,Entry,Full-time Remote,"$22,000–$38,000",No issues / N/A,No issues / N/A,No issues / N/A,Mild,Medical Terminology;Typing Accuracy;Attention to Detail;Proofreading;Confidentiality,Dictation software;Microsoft Word;EHR systems;Foot pedal;Dragon NaturallySpeaking,Transcribe physician dictations into structured medical documents and reports.,"Listen to physician audio recordings and produce accurate clinical notes, discharge summaries, and operative reports. Apply medical terminology correctly, maintain patient confidentiality, and meet turnaround targets.",Senior Medical Transcriptionist → Clinical Documentation Specialist → Health Information Manager,Home-based with self-managed schedule. Structured repeating tasks. Suitable for a wide range of physical disabilities. No patient contact required.,Remote,AHIMA (Medical Transcription and Coding),"Medical terminology by body system;Common document types (SOAP, H&P, discharge);Transcription software and foot pedal setup;Confidentiality and HIPAA compliance;Quality standards and turnaround metrics",,
